ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,tract_id
10000119,HY190072,03/18/2015 11:55:00 PM,054XX N KENMORE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,False,False,2023,20,48,77,03,1168270.0,1936260.0,2015,02/10/2018 03:50:01 PM,41.980634157,-87.656529996,"(41.980634157, -87.656529996)",1400000US1703117031030706
10000120,HY190073,03/18/2015 11:40:00 PM,078XX S CREGIER AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,414,4,8,43,04B,1189564.0,1853354.0,2015,02/10/2018 03:50:01 PM,41.752648838,-87.58089187200001,"(41.752648838, -87.580891872)",1400000US1703117031834200
10000123,HY189969,03/18/2015 09:44:00 PM,0000X N CENTRAL AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,VEHICLE NON-COMMERCIAL,True,False,1513,15,29,25,15,1139051.0,1899715.0,2015,02/10/2018 03:50:01 PM,41.880934043,-87.764879438,"(41.880934043, -87.764879438)",1400000US1703117031251900
10000124,HY190060,03/18/2015 11:30:00 PM,024XX S BELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1034,10,25,31,08B,1161687.0,1887883.0,2015,02/10/2018 03:50:01 PM,41.848024395,-87.68209087700001,"(41.848024395, -87.682090877)",1400000US1703117031841300
10000126,HY190035,03/18/2015 10:45:00 PM,003XX E 59TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,232,2,20,40,08B,1179208.0,1865959.0,2015,02/10/2018 03:50:01 PM,41.787480544,-87.618458018,"(41.787480544, -87.618458018)",1400000US1703117031834500
10000127,HY190027,03/18/2015 10:33:00 PM,091XX S RACINE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2222,22,21,73,08A,1169928.0,1844242.0,2015,02/10/2018 03:50:01 PM,41.72809296,-87.653113317,"(41.72809296, -87.653113317)",1400000US1703117031730202
10000129,HY190096,03/19/2015 01:20:00 AM,078XX S EMERALD AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,621,6,17,71,08B,1172661.0,1852870.0,2015,02/10/2018 03:50:01 PM,41.751709641,-87.64284824399999,"(41.751709641, -87.642848244)",1400000US1703117031710100
10000130,HY190003,03/18/2015 09:59:00 PM,086XX S CARPENTER ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,613,6,21,71,04B,1170826.0,1847542.0,2015,02/10/2018 03:50:01 PM,41.737129104,-87.64972776200001,"(41.737129104, -87.649727762)",1400000US1703117031711000
10000131,HY190101,03/19/2015 01:28:00 AM,022XX E 103RD ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,434,4,10,51,26,1192874.0,1837123.0,2015,02/10/2018 03:50:01 PM,41.708029389000004,-87.56929028200001,"(41.708029389, -87.569290282)",1400000US1703117031510300
10000133,HY190085,03/19/2015 12:05:00 AM,057XX S WESTERN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,False,False,824,8,16,63,03,1161348.0,1866644.0,2015,02/10/2018 03:50:01 PM,41.789749111999996,-87.683924139,"(41.789749112, -87.683924139)",1400000US1703117031835100
10000134,HY190091,03/19/2015 12:35:00 AM,041XX W BELMONT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FACTORY/MANUFACTURING BUILDING,True,False,1731,17,31,16,14,1148335.0,1920959.0,2015,02/10/2018 03:50:01 PM,41.939055884,-87.730240399,"(41.939055884, -87.730240399)",1400000US1703117031161300
10000135,HY190087,03/19/2015 12:30:00 AM,119XX S HALSTED ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA BUS STOP,False,False,524,5,34,53,03,1173139.0,1825780.0,2015,02/10/2018 03:50:01 PM,41.67736022,-87.641893815,"(41.67736022, -87.641893815)",1400000US1703117031530400
10000137,HY190051,03/18/2015 10:45:00 PM,064XX S EVANS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,312,3,20,42,14,1182328.0,1862419.0,2015,02/10/2018 03:50:01 PM,41.777694703,-87.607128049,"(41.777694703, -87.607128049)",1400000US1703117031420700
10000138,HY190094,03/19/2015 12:50:00 AM,022XX S PRINCETON AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,False,False,914,9,25,34,04B,1174557.0,1889682.0,2015,02/10/2018 03:50:01 PM,41.852683454,-87.634804012,"(41.852683454, -87.634804012)",1400000US1703117031841100
10000139,HY190098,03/19/2015 01:15:00 AM,035XX W CERMAK RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1024,10,22,30,18,1153173.0,1889153.0,2015,02/10/2018 03:50:01 PM,41.85168235,-87.713304129,"(41.85168235, -87.713304129)",1400000US1703117031841400
10000142,HY190058,03/18/2015 11:35:00 PM,095XX S MERRION AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,431,4,7,51,02,1192651.0,1842233.0,2015,02/10/2018 03:50:01 PM,41.722057170999996,-87.569940988,"(41.722057171, -87.569940988)",1400000US1703117031510300
10000143,HY190100,03/19/2015 02:00:00 AM,066XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,321,3,5,42,08B,1184029.0,1861269.0,2015,02/10/2018 03:50:01 PM,41.774499411,-87.60092813600001,"(41.774499411, -87.600928136)",1400000US1703117031834400
10000145,HY190099,03/19/2015 01:19:00 AM,080XX S NORMAL AVE,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,SIDEWALK,True,False,621,6,21,44,24,1174359.0,1851606.0,2015,02/10/2018 03:50:01 PM,41.748203504,-87.636663391,"(41.748203504, -87.636663391)",1400000US1703117031842400
10000146,HY190103,03/19/2015 01:50:00 AM,075XX S DOBSON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,624,6,8,69,03,1184528.0,1855208.0,2015,02/10/2018 03:50:01 PM,41.757855776999996,-87.59928852200001,"(41.757855777, -87.599288522)",1400000US1703117031691500
10000147,HY190102,03/19/2015 01:00:00 AM,078XX S EXCHANGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,421,4,7,43,08B,1197041.0,1853462.0,2015,02/10/2018 03:50:01 PM,41.752762491,-87.553488733,"(41.752762491, -87.553488733)",1400000US1703117031431301
10000148,HY190122,03/19/2015 02:45:00 AM,001XX S SPRINGFIELD AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,True,False,1122,11,28,26,18,1150409.0,1899258.0,2015,02/10/2018 03:50:01 PM,41.87946597,-87.72318519,"(41.87946597, -87.72318519)",1400000US1703117031260800
10000149,HY190082,03/19/2015 12:15:00 AM,019XX N HOYNE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,1434,14,32,22,08B,1162044.0,1913082.0,2015,02/10/2018 03:50:01 PM,41.917165184,-87.680076699,"(41.917165184, -87.680076699)",1400000US1703117031832200
10000151,HY190115,03/19/2015 02:26:00 AM,029XX N DAWSON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1412,14,35,21,09,1153483.0,1919503.0,2015,02/10/2018 03:50:01 PM,41.934959567,-87.711358856,"(41.934959567, -87.711358856)",1400000US1703117031210602
10000153,HY189345,03/18/2015 12:20:00 PM,091XX S UNIVERSITY AVE,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",True,False,413,4,8,47,04B,1185475.0,1844606.0,2015,02/10/2018 03:50:01 PM,41.728740563,-87.596150779,"(41.728740563, -87.596150779)",1400000US1703117031470100
10000155,HY190125,03/19/2015 02:30:00 AM,008XX E 65TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,312,3,20,42,08B,1183157.0,1862099.0,2015,02/10/2018 03:50:01 PM,41.776797341999995,-87.604098905,"(41.776797342, -87.604098905)",1400000US1703117031420800
10000158,HY190061,03/18/2015 11:20:00 PM,060XX S AUSTIN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,False,False,812,8,23,64,14,1137437.0,1863806.0,2015,02/10/2018 03:50:01 PM,41.782423303,-87.771668137,"(41.782423303, -87.771668137)",1400000US1703117031640300
10000159,HY190043,03/18/2015 11:00:00 PM,057XX N KENMORE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2022,20,48,77,04B,1168207.0,1938358.0,2015,02/10/2018 03:50:01 PM,41.986392486,-87.656700734,"(41.986392486, -87.656700734)",1400000US1703117031030603
10000160,HY190116,03/18/2015 03:00:00 PM,068XX S DANTE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,332,3,5,43,04B,1187137.0,1860030.0,2015,02/10/2018 03:50:01 PM,41.771026291,-87.58957416700001,"(41.771026291, -87.589574167)",1400000US1703117031430300
10000161,HY190135,03/18/2015 04:00:00 AM,066XX S JEFFERY DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,331,3,5,42,07,1190931.0,1861403.0,2015,02/10/2018 03:50:01 PM,41.774703033,-87.57562264200001,"(41.774703033, -87.575622642)",1400000US1703117031843900
10000163,HY190083,03/18/2015 11:46:00 PM,083XX S STONY ISLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,412,4,8,45,18,1188253.0,1850180.0,2015,02/10/2018 03:50:01 PM,41.743970443,-87.58579712299999,"(41.743970443, -87.585797123)",1400000US1703117031834300
10000164,HY190123,03/19/2015 02:55:00 AM,031XX W 44TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,False,922,9,14,58,14,1156338.0,1875302.0,2015,02/10/2018 03:50:01 PM,41.813610224,-87.702061305,"(41.813610224, -87.702061305)",1400000US1703117031580502
10000166,HY190133,03/19/2015 03:00:00 AM,014XX E 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,332,3,5,43,08B,1186981.0,1858867.0,2015,02/10/2018 03:50:01 PM,41.767838616999995,-87.59018283200001,"(41.767838617, -87.590182832)",1400000US1703117031430300
10000169,HY190064,03/12/2015 10:00:00 AM,007XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1524,15,37,25,08A,1138890.0,1904410.0,2015,02/10/2018 03:50:01 PM,41.893820645,-87.765356519,"(41.893820645, -87.765356519)",1400000US1703117031251400
10000170,HY190136,03/19/2015 03:51:00 AM,002XX N MAYFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1512,15,29,25,08B,1137120.0,1901058.0,2015,02/10/2018 03:50:01 PM,41.884654292,-87.77193778700001,"(41.884654292, -87.771937787)",1400000US1703117031252000
10000171,HY190088,03/18/2015 02:30:00 PM,020XX N CLARK ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,False,False,1814,18,43,7,02,1173852.0,1913957.0,2015,02/10/2018 03:50:01 PM,41.919311217,-87.636668238,"(41.919311217, -87.636668238)",1400000US1703117031071400
10000172,HY190131,03/19/2015 01:30:00 AM,072XX S CONSTANCE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,324,3,5,43,05,1189623.0,1857463.0,2015,02/10/2018 03:50:01 PM,41.763922875,-87.5805439,"(41.763922875, -87.5805439)",1400000US1703117031430500
10000173,HY190120,03/19/2015 02:35:00 AM,075XX S DANTE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,True,False,411,4,5,43,04A,1187181.0,1855264.0,2015,02/10/2018 03:50:01 PM,41.757946916,-87.58956394399999,"(41.757946916, -87.589563944)",1400000US1703117031834200
10000176,HY190142,03/19/2015 04:00:00 AM,069XX W ARCHER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DRUG STORE,False,False,811,8,23,56,14,1131121.0,1867291.0,2015,02/10/2018 03:50:01 PM,41.79209768,-87.79474491399999,"(41.79209768, -87.794744914)",1400000US1703117031560900
10000178,HY190144,03/19/2015 03:34:00 AM,009XX W 75TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,VEHICLE NON-COMMERCIAL,True,False,733,7,17,68,26,1171162.0,1855268.0,2015,02/10/2018 03:50:01 PM,41.758322944,-87.648271397,"(41.758322944, -87.648271397)",1400000US1703117031681400
10000179,HY190111,03/19/2015 02:05:00 AM,051XX W CHICAGO AVE,0460,BATTERY,SIMPLE,GAS STATION,True,False,1531,15,37,25,08B,1141741.0,1904839.0,2015,02/10/2018 03:50:01 PM,41.894945606,-87.75487497700001,"(41.894945606, -87.754874977)",1400000US1703117031251600
10000180,HY190143,03/19/2015 04:29:00 AM,044XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,1623,16,45,15,14,1141634.0,1928858.0,2015,02/10/2018 03:50:01 PM,41.96085819,-87.75467261899999,"(41.96085819, -87.754672619)",1400000US1703117031150200
10000182,HY190084,03/18/2015 11:35:00 PM,023XX W 47TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,924,9,12,61,03,1161542.0,1873450.0,2015,02/10/2018 03:50:01 PM,41.808421621,-87.683023997,"(41.808421621, -87.683023997)",1400000US1703117031610300
10000184,HY190139,03/19/2015 03:11:00 AM,045XX W DEMING PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,True,False,2521,25,31,20,05,1145724.0,1916657.0,2015,02/10/2018 03:50:01 PM,41.927300801,-87.73994603700001,"(41.927300801, -87.739946037)",1400000US1703117031200200
10000185,HY190119,03/19/2015 02:31:00 AM,037XX W CHICAGO AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,1112,11,27,23,04B,1151389.0,1905083.0,2015,02/10/2018 03:50:01 PM,41.895431204,-87.71943374,"(41.895431204, -87.71943374)",1400000US1703117031231200
10000186,HY190093,03/19/2015 12:09:00 AM,0000X W OAK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,1832,18,42,8,15,1175558.0,1907139.0,2015,02/10/2018 03:50:01 PM,41.90056412,-87.63060547299999,"(41.90056412, -87.630605473)",1400000US1703117031081000
10000188,HY190076,03/19/2015 12:01:00 AM,004XX W 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,732,7,6,68,08B,1174724.0,1858517.0,2015,02/10/2018 03:50:01 PM,41.767160003,-87.63512038100001,"(41.767160003, -87.635120381)",1400000US1703117031681200
10000190,HY190026,03/18/2015 10:30:00 PM,035XX W CARROLL AVE,0810,THEFT,OVER $500,OTHER,False,True,1123,11,28,27,06,1152754.0,1902171.0,2015,02/10/2018 03:50:01 PM,41.887413474,-87.714497528,"(41.887413474, -87.714497528)",1400000US1703117031836800
10000191,HY190013,03/18/2015 10:15:00 PM,038XX S WOOD ST,1020,ARSON,BY FIRE,STREET,False,False,912,9,11,59,09,1164984.0,1879229.0,2015,02/10/2018 03:50:01 PM,41.824207682,-87.670235939,"(41.824207682, -87.670235939)",1400000US1703117031590700
10000194,HY190147,03/19/2015 04:38:00 AM,033XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1412,14,35,22,08B,1153733.0,1918424.0,2015,02/10/2018 03:50:01 PM,41.931993727,-87.71046890299999,"(41.931993727, -87.710468903)",1400000US1703117031210602
10000196,HY190106,03/19/2015 12:30:00 AM,107XX S HALSTED ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,2233,22,34,75,04B,1172884.0,1833731.0,2015,02/10/2018 03:50:01 PM,41.699184632,-87.642593834,"(41.699184632, -87.642593834)",1400000US1703117031750100
10000197,HY190067,03/18/2015 11:20:00 PM,046XX S INDIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,215,2,3,38,04B,1178377.0,1874403.0,2015,02/10/2018 03:50:01 PM,41.81067058,-87.621248438,"(41.81067058, -87.621248438)",1400000US1703117031381500
10000199,HY190149,03/19/2015 02:00:00 AM,039XX W LAWRENCE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1712,17,39,14,06,1149072.0,1931603.0,2015,02/10/2018 03:50:01 PM,41.968249578000005,-87.727255053,"(41.968249578, -87.727255053)",1400000US1703117031140301
10000200,HY189240,03/10/2015 08:00:00 AM,002XX E PERSHING RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"SCHOOL, PUBLIC, BUILDING",False,False,212,2,3,35,26,1178744.0,1879190.0,2015,02/10/2018 03:50:01 PM,41.823798151,-87.619756522,"(41.823798151, -87.619756522)",1400000US1703117031839600
10000201,HY190159,03/18/2015 08:00:00 PM,082XX S MOZART ST,0820,THEFT,$500 AND UNDER,STREET,False,False,835,8,18,70,06,1158810.0,1849882.0,2015,02/10/2018 03:50:01 PM,41.743803922,-87.693687357,"(41.743803922, -87.693687357)",1400000US1703117031700501
10000202,HY190090,03/19/2015 12:35:00 AM,052XX S CORNELL AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,234,2,4,41,03,1188049.0,1870822.0,2015,02/10/2018 03:50:01 PM,41.80061868,-87.58588726200001,"(41.80061868, -87.585887262)",1400000US1703117031410100
10000203,HY190151,03/19/2015 01:00:00 AM,020XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2525,25,30,20,14,1149380.0,1913410.0,2015,02/10/2018 03:50:01 PM,41.918320523,-87.72659604799999,"(41.918320523, -87.726596048)",1400000US1703117031200402
10000204,HY190086,03/18/2015 05:00:00 PM,001XX W RANDOLPH ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,122,1,42,32,08A,1174851.0,1901269.0,2015,02/10/2018 03:50:01 PM,41.884472382,-87.633378182,"(41.884472382, -87.633378182)",1400000US1703117031839100
10000205,HY190141,03/18/2015 05:30:00 PM,057XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,232,2,20,40,07,1178578.0,1867009.0,2015,02/10/2018 03:50:01 PM,41.790376197,-87.620736031,"(41.790376197, -87.620736031)",1400000US1703117031400500
10000207,HY189272,03/18/2015 12:20:00 PM,077XX S OGLESBY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,414,4,7,43,08B,1193210.0,1854136.0,2015,02/10/2018 03:50:01 PM,41.754706432,-87.567505523,"(41.754706432, -87.567505523)",1400000US1703117031431200
10000208,HY190156,03/19/2015 05:30:00 AM,048XX S KEDVALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,815,8,14,57,08B,1149512.0,1872176.0,2015,02/10/2018 03:50:01 PM,41.805166895999996,-87.727180679,"(41.805166896, -87.727180679)",1400000US1703117031570300
10000209,HY189415,03/17/2015 12:00:00 PM,014XX W 77TH ST,0810,THEFT,OVER $500,RESIDENCE,False,False,612,6,17,71,06,1168120.0,1853688.0,2015,02/10/2018 03:50:01 PM,41.754053145,-87.659465414,"(41.754053145, -87.659465414)",1400000US1703117031710300
10000211,HY189397,03/18/2015 01:45:00 PM,017XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,OTHER,False,False,1433,14,32,24,08A,1165406.0,1911675.0,2015,02/10/2018 03:50:01 PM,41.913233349,-87.66776484,"(41.913233349, -87.66776484)",1400000US1703117031240200
10000212,HY189315,03/18/2015 12:50:00 PM,015XX W 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,612,6,21,71,08B,1167549.0,1851682.0,2015,02/10/2018 03:50:01 PM,41.748560656,-87.661615335,"(41.748560656, -87.661615335)",1400000US1703117031710600
10000216,HY189182,03/17/2015 07:30:00 PM,033XX W FULLERTON AVE,0810,THEFT,OVER $500,SIDEWALK,False,False,1413,14,35,22,06,1153474.0,1915753.0,2015,02/10/2018 03:50:01 PM,41.924669445999996,-87.711491883,"(41.924669446, -87.711491883)",1400000US1703117031220601
